uni_name,uni_link,uni_city,uni_country,lat,lng,map_address,scholarship_name,scholarship_link,degree_level,field_of_study,original_fee_eur,scholarship_amount_eur,after_scholarship_fee_eur,cgpa_min,deadline,documents_required,international_email,whatsapp,phone,apply_steps,verified
Technical University of Munich,https://www.tum.de,Munich,Germany,48.1496,11.5680,"Arcisstrasse 21, 80333 Munich",TUM Merit Scholarship,https://www.tum.de/en/studies/fees-and-financial-aid/scholarships/tum-scholarships,Masters,Engineering & Technology,0,3600,0,3.3,2026-05-31,"Transcripts|Motivation Letter|CV|2 References|IELTS 6.5+","international@tum.de","",+49 89 289 01,"1.Apply for eligible Masters at TUM|2.Receive admission offer|3.Apply for TUM Merit Scholarship online|4.Upload motivation letter and transcripts|5.Decision within 6 weeks",true
Heidelberg University,https://www.uni-heidelberg.de,Heidelberg,Germany,49.4094,8.6943,"Grabengasse 1, 69117 Heidelberg",Heidelberg Excellence Scholarship,https://www.uni-heidelberg.de/en/study/all-study-programs/scholarships-and-funding,Masters,All Fields,0,5400,0,3.5,2026-04-30,"Transcripts|Research Proposal|CV|2 References|IELTS 6.5+","international@uni-heidelberg.de","",+49 6221 54 0,"1.Apply for Masters program|2.Get admission offer|3.Complete excellence scholarship application|4.Upload research proposal|5.Interview may be required",true
Ludwig Maximilian University Munich,https://www.lmu.de,Munich,Germany,48.1508,11.5805,"Geschwister-Scholl-Platz 1, 80539 Munich",LMU Munich Scholarship,https://www.lmu.de/en/study/all-study-programs/funding-and-support/scholarships/,Masters,All Fields,0,4800,0,3.3,2026-06-30,"Transcripts|SOP|CV|IELTS 6.5+|2 References","internationales.buero@lmu.de","",+49 89 2180 0,"1.Apply for eligible Masters|2.Receive admission|3.Apply via LMU scholarship portal|4.Submit SOP and CV|5.Decision in 4 weeks",true
Humboldt University of Berlin,https://www.hu-berlin.de,Berlin,Germany,52.5186,13.3937,"Unter den Linden 6, 10099 Berlin",Humboldt International Masters Scholarship,https://www.hu-berlin.de/en/studium/internationale-studierende/financing,Masters,All Fields,0,3600,0,3.0,2026-07-31,"Transcripts|Motivation Letter|IELTS 6.0+|2 References","international@hu-berlin.de","",+49 30 2093 0,"1.Apply for Masters program at HU Berlin|2.Get offer|3.Apply for international scholarship|4.Submit motivation letter|5.Award announced before semester start",true
Free University of Berlin,https://www.fu-berlin.de,Berlin,Germany,52.4537,13.2939,"Kaiserswerther Str. 16-18, 14195 Berlin",FU Berlin International Scholarship,https://www.fu-berlin.de/en/studium/international/incoming/scholarships/index.html,Masters,All Fields,0,3000,0,3.0,2026-07-31,"Transcripts|SOP|IELTS 6.0+|CV","international@fu-berlin.de","",+49 30 838 0,"1.Apply for eligible Masters|2.Receive admission offer|3.Complete FU scholarship form|4.Upload SOP and transcripts|5.Decision within 3 weeks",true
RWTH Aachen University,https://www.rwth-aachen.de,Aachen,Germany,50.7779,6.0773,"Templergraben 55, 52062 Aachen",RWTH Excellence Scholarship,https://www.rwth-aachen.de/cms/root/studium/Im-Studium/Stipendien-Foerderung/~bob/Stipendienprogramm/,Masters,Engineering,0,6000,0,3.5,2026-04-15,"Transcripts|Motivation Letter|CV|2 References|IELTS 6.5+","international@rwth-aachen.de","",+49 241 80 0,"1.Apply for Masters at RWTH|2.Receive admission|3.Apply for Excellence Scholarship|4.Write motivation letter|5.Attend interview if shortlisted",true
University of Stuttgart,https://www.uni-stuttgart.de,Stuttgart,Germany,48.7455,9.1055,"Keplerstrasse 7, 70174 Stuttgart",Stuttgart International Masters Scholarship,https://www.uni-stuttgart.de/en/study/fees-financing/scholarships/,Masters,Engineering & Technology,0,4200,0,3.2,2026-06-30,"Transcripts|CV|Motivation Letter|IELTS 6.0+","international@uni-stuttgart.de","",+49 711 685 0,"1.Apply for eligible Masters program|2.Get offer|3.Apply for international scholarship|4.Submit required documents|5.Decision within 4 weeks",true
University of Hamburg,https://www.uni-hamburg.de,Hamburg,Germany,53.5676,9.9737,"Edmund-Siemers-Allee 1, 20148 Hamburg",Hamburg International Excellence Award,https://www.uni-hamburg.de/en/studium/studienorganisation/stipendien.html,Masters,All Fields,0,3600,0,3.0,2026-08-31,"Transcripts|SOP|IELTS 6.0+|CV","international@uni-hamburg.de","",+49 40 42838 0,"1.Apply for eligible Masters|2.Receive offer|3.Apply for Excellence Award online|4.Submit SOP|5.Award announced 4 weeks before semester",true
University of Bonn,https://www.uni-bonn.de,Bonn,Germany,50.7270,7.0850,"Regina-Pacis-Weg 3, 53113 Bonn",Bonn International Graduate Scholarship,https://www.uni-bonn.de/en/studying/studying-at-the-university-of-bonn/financing-your-studies/scholarships,Masters,All Fields,0,4200,0,3.2,2026-06-30,"Transcripts|Motivation Letter|IELTS 6.0+|2 References","international@uni-bonn.de","",+49 228 73 0,"1.Apply for eligible Masters|2.Get admission offer|3.Complete Bonn scholarship application|4.Upload all documents|5.Decision within 6 weeks",true
University of Cologne,https://www.uni-koeln.de,Cologne,Germany,50.9282,6.9290,"Albertus-Magnus-Platz, 50923 Cologne",Cologne Global Masters Scholarship,https://www.uni-koeln.de/en/studying/scholarships-and-grants,Masters,All Fields,0,3600,0,3.0,2026-07-31,"Transcripts|SOP|IELTS 6.0+|CV","international@uni-koeln.de","",+49 221 470 0,"1.Apply for eligible Masters program|2.Receive admission offer|3.Apply for Global Masters Scholarship|4.Submit SOP and transcripts|5.Decision in 4 weeks",true
