uni_name,uni_link,uni_city,uni_country,lat,lng,map_address,scholarship_name,scholarship_link,degree_level,field_of_study,original_fee_usd,scholarship_amount_usd,after_scholarship_fee_usd,cgpa_min,deadline,documents_required,international_email,whatsapp,phone,apply_steps,verified
Bilkent University,https://www.bilkent.edu.tr,Ankara,Turkey,39.8674,32.7480,"Bilkent, 06800 Ankara",Bilkent International Masters Scholarship,https://www.bilkent.edu.tr/bilkent/scholarships/,Masters,All Fields,12000,12000,0,3.0,2026-06-30,"Transcripts|SOP|2 References|IELTS 6.0+|CV","graduate@bilkent.edu.tr","",+90 312 290 1000,"1.Apply for eligible Masters program|2.Submit complete application|3.Scholarship auto considered with admission|4.No separate form required|5.Decision with admission offer",true
Middle East Technical University,https://www.metu.edu.tr,Ankara,Turkey,39.8915,32.7827,"Dumlupinar Bulvari No:1, 06800 Ankara",METU International Graduate Fellowship,https://www.metu.edu.tr/academic/graduate-programs/funding,Masters,Engineering & Science,8000,8000,0,3.0,2026-05-31,"Transcripts|SOP|2 References|IELTS 6.0+","graduate-admissions@metu.edu.tr","",+90 312 210 2000,"1.Apply for Masters at METU|2.Get admission offer|3.Auto considered for fellowship|4.No separate scholarship form|5.Award confirmed with offer letter",true
Koç University,https://www.ku.edu.tr,Istanbul,Turkey,41.2047,29.0784,"Rumelifeneri Yolu, 34450 Sarıyer Istanbul",Koç University Graduate Scholarship,https://graduate.ku.edu.tr/en/funding,Masters,All Fields,15000,15000,0,3.2,2026-05-01,"Transcripts|SOP|3 References|IELTS 6.5+|GRE(optional)","gradadmissions@ku.edu.tr","",+90 212 338 1000,"1.Apply for eligible Masters|2.Receive offer|3.Scholarship included with full funding offer|4.No separate form|5.Funding details in offer letter",true
Sabanci University,https://www.sabanciuniv.edu,Istanbul,Turkey,40.8908,29.3779,"Universite Cad. 27, 34956 Orhanli Istanbul",Sabanci Graduate Scholarship,https://www.sabanciuniv.edu/en/graduate-programs/scholarships,Masters,All Fields,14000,14000,0,3.0,2026-05-15,"Transcripts|SOP|2 References|IELTS 6.0+","gradinfo@sabanciuniv.edu","",+90 216 483 9000,"1.Apply for eligible Masters|2.Submit complete application|3.Top candidates auto considered|4.Department nominates|5.Funding confirmed with admission",true
Bogazici University,https://www.boun.edu.tr,Istanbul,Turkey,41.0839,29.0488,"Bebek, 34342 Besiktas Istanbul",Bogazici International Masters Fellowship,https://www.boun.edu.tr/en-US/Content/Academic/Graduate_Programs,Masters,All Fields,6000,6000,0,3.0,2026-06-30,"Transcripts|SOP|2 References|IELTS 6.0+","graduate@boun.edu.tr","",+90 212 359 5400,"1.Apply for eligible Masters at Bogazici|2.Get admission|3.Fellowship auto considered|4.No separate form|5.Award with admission letter",true
Istanbul Technical University,https://www.itu.edu.tr,Istanbul,Turkey,41.1051,29.0240,"Inonu Caddesi No:87, 34437 Besiktas Istanbul",ITU International Research Scholarship,https://www.itu.edu.tr/en/academics/graduate,Masters,Engineering,5000,5000,0,2.8,2026-07-31,"Transcripts|Research Proposal|IELTS 6.0+|CV","uab@itu.edu.tr","",+90 212 293 1300,"1.Apply for eligible Masters|2.Get offer|3.Apply for research scholarship|4.Submit research proposal|5.Decision within 4 weeks",true
Ankara University,https://www.ankara.edu.tr,Ankara,Turkey,39.9414,32.8605,"Tandogan Campus, 06100 Ankara",Ankara Graduate Excellence Award,https://www.ankara.edu.tr/en/international-students/,Masters,All Fields,3000,3000,0,2.8,2026-08-31,"Transcripts|SOP|IELTS 5.5+|CV","international@ankara.edu.tr","",+90 312 203 3000,"1.Apply for eligible Masters|2.Receive offer|3.Auto considered for excellence award|4.No separate form|5.Award announced with admission",true
Hacettepe University,https://www.hacettepe.edu.tr,Ankara,Turkey,39.8660,32.7340,"Beytepe Campus, 06532 Ankara",Hacettepe International Masters Scholarship,https://www.hacettepe.edu.tr/eng/,Masters,All Fields,3500,3500,0,2.8,2026-08-31,"Transcripts|SOP|IELTS 5.5+","uluslararasi@hacettepe.edu.tr","",+90 312 305 5000,"1.Apply for eligible Masters|2.Get admission offer|3.International scholarship auto considered|4.No separate form needed|5.Scholarship confirmed with offer",true
Gebze Technical University,https://www.gtu.edu.tr,Kocaeli,Turkey,40.8028,29.4384,"Gebze Kocaeli, 41400",GTU International Engineering Scholarship,https://www.gtu.edu.tr/kategori/1/1/anasayfa.aspx,Masters,Engineering,2500,2500,0,2.7,2026-09-30,"Transcripts|SOP|IELTS 5.5+|CV","international@gtu.edu.tr","",+90 262 605 1000,"1.Apply for Masters at GTU|2.Receive offer|3.Engineering scholarship auto considered|4.No separate form|5.Award with admission letter",true
Izmir Institute of Technology,https://www.iyte.edu.tr,Izmir,Turkey,38.3210,26.6390,"Gulbahce Campus, 35430 Urla Izmir",IZTECH Graduate Scholarship,https://www.iyte.edu.tr/en/,Masters,Engineering & Science,2000,2000,0,2.7,2026-09-30,"Transcripts|SOP|IELTS 5.5+","graduate@iyte.edu.tr","",+90 232 750 6000,"1.Apply for eligible Masters|2.Get offer|3.Scholarship auto considered|4.No separate application|5.Funding confirmed with admission",true
