uni_name,uni_link,uni_city,uni_country,lat,lng,map_address,scholarship_name,scholarship_link,degree_level,field_of_study,original_fee_gbp,scholarship_amount_gbp,after_scholarship_fee_gbp,cgpa_min,deadline,documents_required,international_email,whatsapp,phone,apply_steps,verified,has_separate_form
University of Edinburgh,https://www.ed.ac.uk,Edinburgh,United Kingdom,55.9445,-3.1892,"Old College, South Bridge, Edinburgh EH8 9YL",Edinburgh Global Masters Scholarship,https://www.ed.ac.uk/student-funding/masters/global,Masters,All Fields,28000,5000,23000,3.2,2026-04-30,"Transcripts|IELTS 6.5+|SOP|CV|References","admissions@ed.ac.uk","",+44 131 650 1000,"1.Apply for an eligible Masters programme at Edinburgh|2.Receive a conditional or unconditional offer|3.Complete online scholarship application form|4.Upload transcripts + IELTS + SOP|5.Submit by 30 April 2026",true,true
University of Manchester,https://www.manchester.ac.uk,Manchester,United Kingdom,53.4668,-2.2339,"Oxford Road, Manchester M13 9PL",Manchester Masters Excellence Scholarship,https://www.manchester.ac.uk/study/masters/fees-and-funding/scholarships/,Masters,All Fields,26000,6000,20000,3.3,2026-05-31,"Transcripts|Personal Statement|IELTS 6.5+|CV","international@manchester.ac.uk","",+44 161 306 6000,"1.Apply for your Manchester Masters programme|2.Receive unconditional offer|3.Fill online scholarship application|4.Submit personal statement explaining merit|5.Award notifications sent June–July 2026",true,true
University of Bristol,https://www.bristol.ac.uk,Bristol,United Kingdom,51.4584,-2.6032,"Senate House, Tyndall Avenue, Bristol BS8 1TH",Think Big Postgraduate Scholarship,https://www.bristol.ac.uk/fees-funding/awards/think-big/,Masters,All Fields,25000,5000,20000,3.2,2026-03-01,"Transcripts|IELTS 6.5+|SOP|Financial Evidence","pg-admissions@bristol.ac.uk","",+44 117 928 9000,"1.Apply for an eligible postgraduate taught programme|2.Receive offer from Bristol|3.Apply for Think Big scholarship via online portal|4.Submit SOP + financial evidence|5.Decision within 4 weeks of application",true,true
University of Warwick,https://warwick.ac.uk,Coventry,United Kingdom,52.3793,-1.5617,"University of Warwick, Coventry CV4 7AL",Chancellor's International Scholarship,https://warwick.ac.uk/services/scholarships/taught-postgraduate/international/chancellors-international-scholarship/,Masters,All Fields,26000,6000,20000,3.3,2026-05-15,"Transcripts|References|IELTS 6.5+|SOP","pg.enquiries@warwick.ac.uk","",+44 24 7652 3523,"1.Apply for Warwick Masters and receive an offer|2.Log into Warwick Student Record|3.Apply for Chancellor's Scholarship online|4.Provide academic references and transcripts|5.Scholarships awarded on merit by department",true,true
University of Bath,https://www.bath.ac.uk,Bath,United Kingdom,51.3781,-2.3278,"Claverton Down, Bath BA2 7AY",International Merit Scholarship,https://www.bath.ac.uk/guides/scholarships-for-international-postgraduate-students/,Masters,All Fields,24000,5000,19000,3.4,2026-05-01,"Transcripts|IELTS 6.5+|Personal Statement","international-admissions@bath.ac.uk","",+44 1225 385385,"1.Submit Masters application to University of Bath|2.Receive an offer of admission|3.Scholarship automatically considered on merit|4.No separate application needed in most cases|5.Award letters sent after admissions decision",true,false
University of Sheffield,https://www.sheffield.ac.uk,Sheffield,United Kingdom,53.3811,-1.4890,"Western Bank, Sheffield S10 2TN",Sheffield International Masters Scholarship,https://www.sheffield.ac.uk/international/finance/scholarships,Masters,All Fields,23000,5000,18000,3.0,2026-06-30,"Transcripts|IELTS 6.5+|Personal Statement|CV","international@sheffield.ac.uk","",+44 114 222 2000,"1.Apply online to Sheffield Masters programme|2.Receive conditional or unconditional offer|3.Complete online scholarship form on MySheffield|4.Upload required documents|5.Award decisions within 3 weeks",true,true
University of Birmingham,https://www.birmingham.ac.uk,Birmingham,United Kingdom,52.4503,-1.9304,"Edgbaston, Birmingham B15 2TT",Global Masters Scholarship,https://www.birmingham.ac.uk/international/students/finance/scholarships/global-masters.aspx,Masters,All Fields,24000,5000,19000,3.2,2026-07-31,"Transcripts|IELTS 6.5+|Personal Statement","international-office@contacts.bham.ac.uk","",+44 121 415 8900,"1.Apply for eligible Masters at Birmingham|2.Receive an unconditional offer|3.No separate application needed — auto-considered|4.Decision included with admission letter|5.Accept award by stated deadline",true,false
King's College London,https://www.kcl.ac.uk,London,United Kingdom,51.5115,-0.1160,"Strand, London WC2R 2LS",King's International Postgraduate Scholarship,https://www.kcl.ac.uk/study/postgraduate-taught/fees-and-funding/scholarships-and-bursaries,Masters,All Fields,32000,5000,27000,3.3,2026-04-30,"Transcripts|Personal Statement|IELTS 6.5+|2 References","international@kcl.ac.uk","",+44 20 7836 5454,"1.Apply for your chosen Masters at King's College London|2.Receive offer of admission|3.Apply via King's scholarship portal|4.Submit personal statement + transcripts|5.Merit-based decisions by May–June 2026",true,true
London School of Economics,https://www.lse.ac.uk,London,United Kingdom,51.5144,-0.1169,"Houghton Street, London WC2A 2AE",LSE Postgraduate Merit Award,https://www.lse.ac.uk/study-at-lse/Graduate/fees-and-funding/graduate-merit-award,Masters,Social Sciences|Economics|Business,32000,7000,25000,3.5,2026-04-30,"Transcripts|IELTS 7.0+|Academic References|SOP","financial-support@lse.ac.uk","",+44 20 7405 7686,"1.Apply for LSE Masters programme|2.Submit via EUCLID portal|3.Scholarship application opens after offer receipt|4.Provide merit-based SOP and references|5.Notified by May 2026",true,true
University of Nottingham,https://www.nottingham.ac.uk,Nottingham,United Kingdom,52.9382,-1.2136,"University Park, Nottingham NG7 2RD",Masters International Excellence Award,https://www.nottingham.ac.uk/studywithus/international/funding/masters-international-excellence-award.aspx,Masters,All Fields,22000,5000,17000,3.2,2026-06-30,"Transcripts|IELTS 6.5+|Personal Statement","intpg@nottingham.ac.uk","",+44 115 951 5151,"1.Apply for Nottingham Masters programme online|2.Receive and accept conditional/unconditional offer|3.Complete scholarship application form|4.Upload transcripts and personal statement|5.Decision within 6 weeks",true,true
University of Leeds,https://www.leeds.ac.uk,Leeds,United Kingdom,53.8067,-1.5550,"Woodhouse Lane, Leeds LS2 9JT",Leeds Masters Scholarship,https://www.leeds.ac.uk/scholarships/postgraduate,Masters,All Fields,23000,5000,18000,3.0,2026-06-01,"Transcripts|IELTS 6.5+|SOP","study@leeds.ac.uk","",+44 113 243 1751,"1.Apply online to Leeds postgraduate programme|2.Receive admission offer|3.Apply for scholarship via Leeds scholarship portal|4.Submit supporting statement|5.Merit-based selection by department",true,true
