uni_name,uni_link,uni_city,uni_country,lat,lng,map_address,scholarship_name,scholarship_link,degree_level,field_of_study,original_fee_gbp,scholarship_amount_gbp,after_scholarship_fee_gbp,cgpa_min,deadline,documents_required,international_email,whatsapp,phone,apply_steps,verified,has_separate_form
Queen Mary University of London,https://www.qmul.ac.uk,London,United Kingdom,51.5239,-0.0400,"Mile End Road, London E1 4NS",Queen Mary Principal's Postgraduate Scholarship,https://www.qmul.ac.uk/international/international-students/scholarships/,Masters,All Fields,22000,5000,17000,3.2,2026-06-30,"Transcripts|IELTS 6.5+|Personal Statement|CV","international@qmul.ac.uk","",+44 20 7882 5555,"1.Apply for Masters at QMUL|2.Receive unconditional offer|3.Complete Principal's Scholarship form|4.Submit personal statement + transcripts|5.Rolling decisions from March 2026",true,true
University of Liverpool,https://www.liverpool.ac.uk,Liverpool,United Kingdom,53.4068,-2.9665,"Foundation Building, Brownlow Hill, Liverpool L69 7ZX",Liverpool International Masters Scholarship,https://www.liverpool.ac.uk/study/postgraduate-taught/fees-and-funding/scholarships-and-bursaries/,Masters,All Fields,21000,5000,16000,3.0,2026-07-31,"Transcripts|IELTS 6.5+|Personal Statement","international@liverpool.ac.uk","",+44 151 794 2000,"1.Apply online to Liverpool Masters programme|2.Receive offer of admission|3.Apply via Liverpool scholarship portal|4.Upload supporting documents|5.Merit-based rolling decisions",true,true
Royal Holloway University of London,https://www.royalholloway.ac.uk,Egham,United Kingdom,51.4257,-0.5648,"Egham Hill, Egham TW20 0EX",International Excellence Scholarship,https://www.royalholloway.ac.uk/studying-here/fees-and-funding/postgraduate/scholarships-and-bursaries/,Masters,All Fields,20000,5000,15000,3.0,2026-07-31,"Transcripts|IELTS 6.5+|SOP","enquiries@royalholloway.ac.uk","",+44 1784 434455,"1.Apply for Royal Holloway Masters|2.Receive offer|3.No separate application — auto-considered|4.Award with admission decision|5.Notify acceptance by deadline",true,false
University of Aberdeen,https://www.abdn.ac.uk,Aberdeen,United Kingdom,57.1654,-2.0991,"King's College, Aberdeen AB24 3FX",Aberdeen Global Scholarship,https://www.abdn.ac.uk/scholarships/search/index.php,Masters,All Fields,19000,4000,15000,3.0,2026-06-30,"Transcripts|IELTS 6.0+|Personal Statement","international@abdn.ac.uk","",+44 1224 272090,"1.Apply for Masters at Aberdeen online|2.Receive offer|3.Apply for Global Scholarship via Student Hub|4.Upload transcripts and personal statement|5.Award decisions monthly",true,true
Queen's University Belfast,https://www.qub.ac.uk,Belfast,United Kingdom,54.5843,-5.9340,"University Road, Belfast BT7 1NN",Queen's International Scholarship,https://www.qub.ac.uk/courses/postgraduate-taught/scholarships/international-student-scholarships/,Masters,All Fields,19000,5000,14000,3.0,2026-07-31,"Transcripts|IELTS 6.5+|Personal Statement","international@qub.ac.uk","",+44 28 9024 5133,"1.Apply for Masters at Queen's Belfast|2.Receive offer|3.Complete international scholarship form|4.Submit personal statement|5.Decisions within 4 weeks",true,true
University of Strathclyde,https://www.strath.ac.uk,Glasgow,United Kingdom,55.8617,-4.2455,"16 Richmond Street, Glasgow G1 1XQ",Strathclyde Global Masters Scholarship,https://www.strath.ac.uk/studywithus/scholarshipsandfinancialassistance/,Masters,Engineering|Computer Science|Business,20000,5000,15000,3.2,2026-06-30,"Transcripts|IELTS 6.5+|Personal Statement","international@strath.ac.uk","",+44 141 552 4400,"1.Apply for Strathclyde Masters|2.Receive conditional offer|3.Apply for Global Scholarship online|4.Upload academic transcripts + statement|5.Award with admission decision",true,true
Brunel University London,https://www.brunel.ac.uk,Uxbridge,United Kingdom,51.5333,-0.4756,"Kingston Lane, Uxbridge UB8 3PH",Brunel International Excellence Scholarship,https://www.brunel.ac.uk/study/postgraduate/fees-and-funding/international-scholarships,Masters,Engineering|IT|Business,20000,4000,16000,3.0,2026-07-31,"Transcripts|IELTS 6.5+|Personal Statement","international.scholarships@brunel.ac.uk","",+44 1895 274000,"1.Apply for Brunel Masters programme|2.Receive conditional or unconditional offer|3.No separate application — automatically considered|4.Award stated in offer letter|5.Accept offer by deadline",true,false
University of Essex,https://www.essex.ac.uk,Colchester,United Kingdom,51.8780,0.9390,"Wivenhoe Park, Colchester CO4 3SQ",Essex Masters Excellence Scholarship,https://www.essex.ac.uk/scholarships-and-funding/postgraduate,Masters,All Fields,18000,4000,14000,3.0,2026-07-31,"Transcripts|IELTS 6.5+|SOP","admit@essex.ac.uk","",+44 1206 873333,"1.Apply to Essex Masters online|2.Receive offer|3.Apply for Essex Masters Excellence Scholarship|4.Submit SOP and transcripts|5.Rolling decisions — apply early",true,true
University of East Anglia,https://www.uea.ac.uk,Norwich,United Kingdom,52.6231,1.2413,"Norwich Research Park, Norwich NR4 7TJ",UEA International Postgraduate Scholarship,https://www.uea.ac.uk/study/information-for/international-students/fees-and-funding,Masters,All Fields,18500,4000,14500,3.0,2026-06-30,"Transcripts|IELTS 6.5+|Personal Statement","international@uea.ac.uk","",+44 1603 456161,"1.Apply for UEA Masters programme|2.Receive offer|3.Submit international scholarship application|4.Provide supporting documents|5.Award within 3 weeks of complete application",true,true
City University of London,https://www.city.ac.uk,London,United Kingdom,51.5279,-0.1025,"Northampton Square, London EC1V 0HB",City Postgraduate Merit Award,https://www.city.ac.uk/study/postgraduate/fees-and-funding/scholarships-and-bursaries,Masters,Business|Computer Science|Law,22000,4000,18000,3.2,2026-06-30,"Transcripts|IELTS 6.5+|Personal Statement|References","international@city.ac.uk","",+44 20 7040 5060,"1.Apply for City University Masters|2.Receive offer|3.Complete online merit award form|4.Upload transcripts and personal statement|5.Award decisions within 4 weeks",true,true
