uni_name,uni_link,uni_city,uni_country,lat,lng,map_address,scholarship_name,scholarship_link,degree_level,field_of_study,original_fee_gbp,scholarship_amount_gbp,after_scholarship_fee_gbp,cgpa_min,deadline,documents_required,international_email,whatsapp,phone,apply_steps,verified,has_separate_form,application_type,button_label,user_note
University of Oxford,https://www.ox.ac.uk,Oxford,UK,51.752,-1.2577,"Wellington Square, Oxford OX1 2JD",Clarendon Scholarship,https://www.ox.ac.uk/admissions/graduate/applying-to-oxford,Masters,All Fields,28000,28000,0,3.7,2026-01-10,Transcripts|IELTS 7.0+|SOP|2 References,graduate.admissions@admin.ox.ac.uk,,+44 1865 270000,1.Apply for eligible Oxford Masters by course deadline (Dec 2025–Jan 2026)|2.No separate scholarship form (auto consideration)|3.Upload all transcripts + references|4.Confirm college choice|5.Wait for Clarendon decision Feb–Jun 2026,True,False,portal_application,View Portal Steps 📋,Apply for your Oxford course - Clarendon auto-considered in your application
University of Cambridge,https://www.cam.ac.uk,Cambridge,UK,52.2053,0.1218,"The Old Schools, Trinity Ln, Cambridge CB2 1TN",Gates Cambridge Scholarship,https://www.gatescambridge.org/apply,Masters,All Fields,29000,29000,0,3.7,2026-01-03,Transcripts|Research Proposal|3 References|IELTS 7.0+,grad.admissions@admin.cam.ac.uk,,+44 1223 337733,1.Choose eligible full-time Masters course|2.Apply for admission + funding via Cambridge application portal|3.Complete Gates funding section|4.Upload research proposal + 3 references|5.Attend interview (if shortlisted),True,True,portal_application,View Portal Steps 📋,Apply for course first - then access scholarship via university portal
Imperial College London,https://www.imperial.ac.uk,London,UK,51.4983,-0.1759,"South Kensington Campus, London SW7 2AZ",Imperial Global Excellence Scholarship (Masters),https://www.imperial.ac.uk/study/fees-and-funding/scholarships-search/,Masters,Engineering & Science,35000,15000,20000,3.5,2026-03-31,Transcripts|Personal Statement|CV|IELTS 6.5+,study@imperial.ac.uk,,+44 20 7594 7777,1.Apply for an eligible taught Masters at Imperial|2.Meet offer conditions|3.Complete any faculty scholarship form (if required)|4.Submit statement highlighting academic excellence|5.Wait for scholarship email from Imperial,True,True,portal_application,View Portal Steps 📋,Apply for course first - then access scholarship via university portal
UCL,https://www.ucl.ac.uk,London,UK,51.524,-0.1334,"Gower Street, London WC1E 6BT",UCL Global Masters Scholarship,https://www.ucl.ac.uk/scholarships/ucl-global-masters-scholarship,Masters,All Fields,32000,15000,17000,3.2,2026-05-07,Transcripts|Personal Statement|Income Evidence|IELTS 6.5+,international@ucl.ac.uk,,+44 20 7679 2000,1.Apply for the Masters course and receive an offer|2.Login to UCL Portico and navigate to 'Funding'|3.Apply for the Global Masters Scholarship|4.Upload income/eligibility proof|5.Submit before 7 May deadline,True,True,direct_form,Apply Now 🎯,Direct online scholarship form available
University of Edinburgh,https://www.ed.ac.uk,Edinburgh,UK,55.9445,-3.1892,"Old College, South Bridge, Edinburgh EH8 9YL",Edinburgh Global Masters Scholarship,https://www.ed.ac.uk/student-funding/postgraduate/international/global/masters,Masters,All Fields,28000,8000,20000,3.0,2026-06-01,Transcripts|SOP|IELTS 6.5+|1–2 References,internationalstudents@ed.ac.uk,,+44 131 650 1000,1.Apply for an eligible on-campus Masters|2.Accept conditional/firm offer|3.Complete online scholarship application in MyEd|4.Answer motivation and academic questions|5.Submit before stated June deadline,True,True,portal_application,View Portal Steps 📋,Apply for course first - then access scholarship via university portal
University of Manchester,https://www.manchester.ac.uk,Manchester,UK,53.4668,-2.2338,"Oxford Rd, Manchester M13 9PL",Manchester Global Futures Scholarship (Masters),https://www.manchester.ac.uk/study/masters/fees-and-funding/masters-scholarships/,Masters,All Fields,30000,8000,22000,3.3,2026-04-30,Transcripts|Personal Statement|CV|IELTS 6.5+,international@manchester.ac.uk,,+44 161 306 6000,1.Apply for eligible postgraduate taught course|2.Receive conditional/firm offer|3.Fill Global Futures scholarship form|4.Write short essay on impact and leadership|5.Submit before school-specific deadline,True,True,portal_application,View Portal Steps 📋,Apply for course first - then access scholarship via university portal
King's College London,https://www.kcl.ac.uk,London,UK,51.5115,-0.116,"Strand, London WC2R 2LS",King’s International PGT Scholarship,https://www.kcl.ac.uk/study/funding/kings-international-scholarship,Masters,All Fields,29000,10000,19000,3.3,2026-06-30,Transcripts|Personal Statement|Reference|IELTS 6.5+,international@kcl.ac.uk,,+44 20 7836 5454,1.Apply for a taught Masters at King’s|2.Receive offer letter|3.Complete King’s International Scholarship application|4.Write motivation statement|5.Submit before 30 June 2026,True,True,portal_application,View Portal Steps 📋,Apply for course first - then access scholarship via university portal
University of Bristol,https://www.bristol.ac.uk,Bristol,UK,51.4566,-2.6041,"Tyndall Ave, Bristol BS8 1TH",Think Big Postgraduate Scholarship,https://www.bristol.ac.uk/international/fees-finance/scholarships/,Masters,All Fields,27000,13000,14000,3.0,2026-04-29,Transcripts|SOP|2 References|IELTS 6.5+,international-office@bristol.ac.uk,+44 7458158625,+44 117 331 1333,1.Apply for an eligible postgraduate programme|2.Get a UoB student ID|3.Complete Think Big scholarship form online|4.Answer questions on academic merit and goals|5.Submit by 29 April 2026,True,True,direct_form,Apply Now 🎯,Direct online scholarship form available
University of Glasgow,https://www.gla.ac.uk,Glasgow,UK,55.8721,-4.289,"Gilmorehill, University Avenue, Glasgow G12 8QQ",Postgraduate Excellence Scholarship,https://www.gla.ac.uk/scholarships/universityofglasgowpostgraduateexcellencescholarship/,Masters,All Fields,26000,10000,16000,3.2,2026-05-31,Transcripts|SOP|IELTS 6.5+,international@glasgow.ac.uk,,+44 141 330 2000,1.Apply for eligible Masters|2.Receive conditional offer|3.Auto-considered based on academic merit|4.No separate long form needed|5.Check offer email for scholarship decision,True,False,auto_considered,Apply for Course 🎓,No separate form - automatically considered with admission
University of Warwick,https://warwick.ac.uk,Coventry,UK,52.3809,-1.5616,Coventry CV4 7AL,Warwick Chancellor’s International Scholarship (Taught),https://warwick.ac.uk/study/postgraduate/fees-and-funding/scholarships/chancellors-international-scholarships/,Masters,All Fields,28000,18000,10000,3.4,2026-03-15,Transcripts|Research/Study Plan|References|IELTS 6.5+,io.support@warwick.ac.uk,,+44 24 7652 3523,1.Apply for relevant postgraduate degree|2.Complete scholarship application in Warwick portal|3.Upload study/research plan|4.Add referee details|5.Submit before 15 March 2026,True,True,portal_application,View Portal Steps 📋,Apply for course first - then access scholarship via university portal
