uni_name,uni_link,uni_city,uni_country,lat,lng,map_address,scholarship_name,scholarship_link,degree_level,field_of_study,original_fee_usd,scholarship_amount_usd,after_scholarship_fee_usd,cgpa_min,deadline,documents_required,international_email,whatsapp,phone,apply_steps,verified,has_separate_form
Yale University,https://www.yale.edu,New Haven,USA,41.3163,-72.9223,"New Haven, CT 06520",Yale University Fellowship,https://gsas.yale.edu/funding/fellowships-and-prizes,Masters,All Fields,46000,20000,26000,3.7,2026-01-02,"Transcripts|GRE Scores|TOEFL 100+|SOP|3 References|CV","graduate.admissions@yale.edu","",+1 203 432 4771,"1.Apply to Yale GSAS by January 2026|2.Complete Fellowship section in application|3.Upload transcripts + GRE + TOEFL|4.Submit SOP and 3 references|5.Fellowship decisions sent with admissions",true,false
Columbia University,https://www.columbia.edu,New York,USA,40.8075,-73.9626,"116th St & Broadway, New York NY 10027",Columbia University Merit Fellowship,https://gsas.columbia.edu/degree-programs/funding/fellowships,Masters,All Fields,56000,15000,41000,3.5,2026-01-15,"Transcripts|TOEFL 100+|SOP|3 References|GRE","gsas-admissions@columbia.edu","",+1 212 854 6729,"1.Apply for Columbia Masters via GSAS portal|2.Merit fellowship auto-considered|3.Upload complete academic record|4.Submit strong SOP and references|5.Award decisions with admissions letter",true,false
Princeton University,https://www.princeton.edu,Princeton,USA,40.3431,-74.6551,"Princeton, NJ 08544",Princeton Graduate Fellowship,https://gradschool.princeton.edu/financial-support,Masters,All Fields,52000,30000,22000,3.7,2026-01-01,"Transcripts|GRE|TOEFL 100+|SOP|3 References|Writing Sample","gradadm@princeton.edu","",+1 609 258 3034,"1.Apply for Princeton Masters programme|2.Fellowship auto-included in application|3.Upload all academic documents|4.Submit SOP and writing sample|5.Decisions by March 2026",true,false
Cornell University,https://www.cornell.edu,Ithaca,USA,42.4534,-76.4735,"Day Hall, Ithaca NY 14853",Cornell Graduate School Fellowship,https://gradschool.cornell.edu/financial-support/fellowships/,Masters,All Fields,30000,15000,15000,3.5,2026-01-15,"Transcripts|GRE|TOEFL 90+|SOP|3 References","grad_admissions@cornell.edu","",+1 607 255 4884,"1.Apply via Cornell Graduate School portal|2.Fellowship section completed in application|3.Upload academic transcripts and test scores|4.Provide SOP and 3 references|5.Decisions by April 2026",true,false
Johns Hopkins University,https://www.jhu.edu,Baltimore,USA,39.3299,-76.6205,"3400 N Charles St, Baltimore MD 21218",JHU International Graduate Fellowship,https://www.jhu.edu/academic-programs/graduate-programs/financial-aid/,Masters,All Fields,55000,20000,35000,3.5,2026-12-01,"Transcripts|GRE|TOEFL 100+|SOP|3 References|CV","gradapp@jhu.edu","",+1 410 516 8000,"1.Apply to JHU Masters programme|2.International Fellowship auto-considered|3.Upload transcripts + GRE + TOEFL|4.Submit SOP and references|5.Award with admissions decision",true,false
Northwestern University,https://www.northwestern.edu,Evanston,USA,42.0565,-87.6753,"633 Clark Street, Evanston IL 60208",Northwestern Graduate Merit Award,https://www.northwestern.edu/financial-aid/graduate-professional-students/,Masters,All Fields,57000,15000,42000,3.5,2026-01-15,"Transcripts|GRE|TOEFL 90+|SOP|3 References","gradadmission@northwestern.edu","",+1 847 491 7265,"1.Apply to Northwestern via GCAT|2.Merit award auto-considered|3.Upload academic documents and test scores|4.Submit SOP and 3 references|5.Decisions by April 2026",true,false
Duke University,https://www.duke.edu,Durham,USA,35.9940,-78.8986,"103 Allen Building, Durham NC 27708",Duke University Graduate Fellowship,https://gradschool.duke.edu/funding/fellowships/,Masters,All Fields,59000,20000,39000,3.5,2026-01-02,"Transcripts|GRE|TOEFL 90+|SOP|3 References","grad-admissions@duke.edu","",+1 919 681 3257,"1.Apply to Duke Graduate School|2.Fellowship auto-included|3.Upload all academic documents|4.Submit SOP highlighting research goals|5.Merit decisions with admission offers",true,false
Vanderbilt University,https://www.vanderbilt.edu,Nashville,USA,36.1447,-86.8027,"2201 West End Ave, Nashville TN 37235",Vanderbilt Merit Scholarship,https://graduate.vanderbilt.edu/about/fellowships/,Masters,All Fields,52000,15000,37000,3.5,2026-01-15,"Transcripts|GRE|TOEFL 90+|SOP|3 References","grad.admissions@vanderbilt.edu","",+1 615 322 2514,"1.Apply via Vanderbilt graduate application|2.Merit scholarship auto-considered|3.Upload transcripts and test scores|4.Provide SOP and references|5.Award decisions by April 2026",true,false
Carnegie Mellon University,https://www.cmu.edu,Pittsburgh,USA,40.4427,-79.9432,"5000 Forbes Avenue, Pittsburgh PA 15213",CMU Graduate Merit Fellowship,https://www.cmu.edu/graduate/fellowships/,Masters,Computer Science|Engineering|Data Science,57000,20000,37000,3.5,2026-01-10,"Transcripts|GRE|TOEFL 90+|SOP|3 References|Portfolio","grad-admissions@cmu.edu","",+1 412 268 2082,"1.Apply via CMU application portal|2.Merit fellowship auto-considered in application|3.Upload transcripts + test scores + portfolio|4.Submit SOP and references|5.Fellowship decisions with admissions",true,false
University of Michigan,https://www.umich.edu,Ann Arbor,USA,42.2780,-83.7382,"503 Thompson Street, Ann Arbor MI 48109",Michigan Graduate Fellowship,https://rackham.umich.edu/funding/fellowships/,Masters,All Fields,26000,12000,14000,3.4,2026-01-15,"Transcripts|GRE|TOEFL 90+|SOP|3 References","rackham.gradinfo@umich.edu","",+1 734 764 8129,"1.Apply to Michigan Rackham Graduate School|2.Fellowship auto-considered|3.Upload academic documents and test scores|4.Submit SOP and 3 references|5.Award with admissions decision",true,false
UC Berkeley,https://www.berkeley.edu,Berkeley,USA,37.8719,-122.2585,"200 California Hall, Berkeley CA 94720",Berkeley Fellowship for Graduate Study,https://grad.berkeley.edu/funding/fellowships/,Masters,All Fields,14000,10000,4000,3.5,2025-12-15,"Transcripts|GRE|TOEFL 90+|SOP|3 References","grad@berkeley.edu","",+1 510 642 7405,"1.Apply via Berkeley graduate application|2.Fellowship auto-considered based on merit|3.Upload academic transcripts and test scores|4.Provide SOP and 3 references|5.Decisions by March 2026",true,false
UCLA,https://www.ucla.edu,Los Angeles,USA,34.0689,-118.4452,"405 Hilgard Avenue, Los Angeles CA 90095",UCLA Graduate Division Fellowship,https://grad.ucla.edu/funding/fellowships/,Masters,All Fields,17000,10000,7000,3.4,2026-01-01,"Transcripts|GRE|TOEFL 87+|SOP|3 References","grad-admissions@ucla.edu","",+1 310 825 4321,"1.Apply to UCLA via graduate application|2.Fellowship section in application|3.Upload academic documents|4.Submit SOP and references|5.Award decisions by April 2026",true,false
University of Southern California,https://www.usc.edu,Los Angeles,USA,34.0224,-118.2851,"University Park, Los Angeles CA 90089",USC Provost's Fellowship,https://graduateschool.usc.edu/fellowships-awards/provosts-fellowship/,Masters,All Fields,32000,15000,17000,3.5,2026-01-15,"Transcripts|GRE|TOEFL 90+|SOP|3 References","gradadmission@usc.edu","",+1 213 740 1111,"1.Apply to USC Masters programme|2.Nominate for Provost's Fellowship in application|3.Upload all academic documents|4.Submit research SOP and references|5.Award decisions by March 2026",true,true
New York University,https://www.nyu.edu,New York,USA,40.7295,-73.9965,"70 Washington Square South, New York NY 10012",NYU Global Fellowship,https://www.nyu.edu/students/student-information-and-resources/registration-records-and-graduation/financial-support.html,Masters,All Fields,46000,10000,36000,3.3,2026-02-01,"Transcripts|GRE|TOEFL 100+|SOP|2 References|CV","gradadmissions@nyu.edu","",+1 212 998 2110,"1.Apply to NYU Masters via application portal|2.Apply for Global Fellowship separately|3.Upload transcripts + GRE + TOEFL|4.Submit SOP and references|5.Rolling fellowship decisions",true,true
